,0
621,tensor(0.8906)
622,tensor(0.9732)
623,tensor(0.8730)
624,tensor(0.9580)
625,tensor(0.9435)
626,tensor(0.9497)
627,tensor(0.8716)
628,tensor(0.8302)
629,tensor(0.8781)
630,tensor(0.8949)
631,tensor(0.8774)
632,tensor(0.9120)
633,tensor(0.9624)
634,tensor(0.9672)
635,tensor(0.8909)
636,tensor(0.9606)
637,tensor(0.8395)
638,tensor(0.9100)
639,tensor(0.9066)
640,tensor(0.9510)
641,tensor(0.9762)
642,tensor(0.9056)
643,tensor(0.9066)
644,tensor(0.8945)
645,tensor(0.9899)
646,tensor(0.8710)
647,tensor(0.8990)
648,tensor(0.8743)
649,tensor(0.8241)
650,tensor(0.8950)
651,tensor(0.8790)
652,tensor(0.8826)
653,tensor(0.8860)
654,tensor(0.8933)
655,tensor(0.8250)
656,tensor(0.9063)
657,tensor(0.9583)
658,tensor(0.9986)
659,tensor(0.9282)
660,tensor(0.9626)
661,tensor(0.9570)
662,tensor(0.8967)
663,tensor(0.9978)
664,tensor(0.9176)
665,tensor(0.8901)
666,tensor(0.8771)
667,tensor(0.9468)
668,tensor(0.8620)
669,tensor(0.8582)
670,tensor(0.8870)
671,tensor(0.9176)
672,tensor(0.8579)
673,tensor(0.8948)
674,tensor(0.9005)
675,tensor(0.9156)
676,tensor(0.8962)
677,tensor(0.8584)
678,tensor(0.9383)
679,tensor(0.8990)
680,tensor(0.9497)
681,tensor(0.8813)
682,tensor(0.8393)
683,tensor(0.8864)
684,tensor(0.8476)
685,tensor(0.8722)
686,tensor(0.9596)
687,tensor(0.9105)
688,tensor(0.8941)
689,tensor(0.9341)
690,tensor(0.8568)
691,tensor(0.8908)
692,tensor(0.9158)
693,tensor(0.9357)
694,tensor(0.9565)
695,tensor(0.9996)
696,tensor(0.8824)
697,tensor(0.8803)
698,tensor(0.8452)
699,tensor(0.9014)
700,tensor(0.9602)
701,tensor(0.8842)
702,tensor(0.9364)
703,tensor(0.8861)
704,tensor(0.8804)
705,tensor(0.9699)
706,tensor(0.8461)
707,tensor(0.9355)
708,tensor(0.8880)
709,tensor(0.8636)
710,tensor(0.8760)
711,tensor(0.8792)
712,tensor(0.9878)
713,tensor(0.8270)
714,tensor(0.8844)
715,tensor(0.8940)
716,tensor(0.8261)
717,tensor(0.9337)
718,tensor(0.8573)
719,tensor(0.9481)
720,tensor(0.9708)
721,tensor(0.9625)
722,tensor(0.9356)
723,tensor(0.9035)
724,tensor(0.8684)
725,tensor(0.8998)
726,tensor(0.8947)
727,tensor(0.8748)
728,tensor(0.9425)
729,tensor(0.8841)
730,tensor(0.8953)
731,tensor(0.8642)
732,tensor(0.9048)
733,tensor(0.9743)
734,tensor(0.9578)
735,tensor(0.9982)
736,tensor(0.9026)
737,tensor(0.8786)
738,tensor(0.9790)
739,tensor(0.8800)
740,tensor(0.9970)
741,tensor(0.9154)
742,tensor(0.9661)
743,tensor(0.9724)
744,tensor(0.8840)
745,tensor(0.8754)
746,tensor(0.9144)
747,tensor(0.9800)
748,tensor(0.9006)
749,tensor(0.9416)
750,tensor(0.8796)
751,tensor(0.8653)
752,tensor(0.8633)
753,tensor(0.8630)
754,tensor(0.8642)
755,tensor(0.9429)
756,tensor(0.9335)
757,tensor(0.9090)
758,tensor(0.9410)
759,tensor(0.9528)
760,tensor(0.8892)
761,tensor(0.8539)
762,tensor(0.9390)
763,tensor(0.9508)
764,tensor(0.8981)
765,tensor(0.9317)
766,tensor(0.9243)
767,tensor(0.9750)
768,tensor(0.9289)
769,tensor(0.9455)
770,tensor(0.8589)
771,tensor(0.8666)
772,tensor(0.8105)
773,tensor(0.8166)
774,tensor(0.8857)
775,tensor(0.8445)
776,tensor(0.8514)
777,tensor(0.9453)
778,tensor(0.8836)
779,tensor(0.8843)
780,tensor(0.8865)
781,tensor(0.9202)
782,tensor(0.9339)
783,tensor(0.8959)
784,tensor(0.8635)
785,tensor(0.9350)
786,tensor(0.9292)
787,tensor(0.9522)
788,tensor(0.9052)
789,tensor(0.9431)
790,tensor(0.8884)
791,tensor(0.9259)
792,tensor(0.8813)
793,tensor(0.9046)
794,tensor(0.9814)
795,tensor(0.9438)
796,tensor(0.9885)
797,tensor(0.8566)
798,tensor(0.8831)
799,tensor(0.9996)
800,tensor(0.8979)
801,tensor(0.9965)
802,tensor(0.8404)
803,tensor(0.9036)
804,tensor(0.9250)
805,tensor(0.7990)
806,tensor(0.8924)
807,tensor(0.8822)
808,tensor(0.9437)
809,tensor(0.9188)
810,tensor(0.8967)
811,tensor(0.9970)
812,tensor(0.9736)
813,tensor(0.8688)
814,tensor(0.8151)
815,tensor(0.8716)
816,tensor(0.8499)
817,tensor(0.9342)
818,tensor(0.9014)
819,tensor(0.8876)
820,tensor(0.8639)
821,tensor(0.9488)
822,tensor(0.9533)
823,tensor(0.8382)
824,tensor(0.9565)
825,tensor(0.9029)
826,tensor(0.9450)
827,tensor(0.8750)
828,tensor(0.8550)
829,tensor(0.9128)
830,tensor(0.8962)
831,tensor(0.9140)
832,tensor(0.8982)
833,tensor(0.8485)
834,tensor(0.9285)
835,tensor(0.9141)
836,tensor(0.8523)
837,tensor(0.9038)
838,tensor(0.8621)
839,tensor(0.9993)
840,tensor(0.8918)
841,tensor(0.9324)
842,tensor(0.9604)
843,tensor(0.9762)
844,tensor(0.9990)
845,tensor(0.9256)
846,tensor(0.9078)
847,tensor(0.9029)
848,tensor(0.8052)
849,tensor(0.9992)
850,tensor(0.9474)
851,tensor(0.9176)
852,tensor(0.8883)
