,0
622,tensor(4.8658)
623,tensor(4.3650)
624,tensor(4.7899)
625,tensor(4.7177)
626,tensor(4.7483)
627,tensor(4.3579)
628,tensor(4.1510)
629,tensor(4.3907)
630,tensor(4.4747)
631,tensor(4.3872)
632,tensor(4.5602)
633,tensor(4.8122)
634,tensor(4.8359)
635,tensor(4.4547)
636,tensor(4.8028)
637,tensor(4.1977)
638,tensor(4.5502)
639,tensor(4.5330)
640,tensor(4.7549)
641,tensor(4.8810)
642,tensor(4.5281)
643,tensor(4.5331)
644,tensor(4.4727)
645,tensor(4.9497)
646,tensor(4.3551)
647,tensor(4.4948)
648,tensor(4.3715)
649,tensor(4.1206)
650,tensor(4.4752)
651,tensor(4.3952)
652,tensor(4.4131)
653,tensor(4.4298)
654,tensor(4.4665)
655,tensor(4.1248)
656,tensor(4.5317)
657,tensor(4.7916)
658,tensor(4.9929)
659,tensor(4.6408)
660,tensor(4.8131)
661,tensor(4.7850)
662,tensor(4.4833)
663,tensor(4.9890)
664,tensor(4.5878)
665,tensor(4.4505)
666,tensor(4.3854)
667,tensor(4.7341)
668,tensor(4.3099)
669,tensor(4.2908)
670,tensor(4.4350)
671,tensor(4.5881)
672,tensor(4.2896)
673,tensor(4.4739)
674,tensor(4.5026)
675,tensor(4.5782)
676,tensor(4.4812)
677,tensor(4.2921)
678,tensor(4.6917)
679,tensor(4.4952)
680,tensor(4.7483)
681,tensor(4.4065)
682,tensor(4.1963)
683,tensor(4.4318)
684,tensor(4.2381)
685,tensor(4.3609)
686,tensor(4.7980)
687,tensor(4.5526)
688,tensor(4.4706)
689,tensor(4.6704)
690,tensor(4.2838)
691,tensor(4.4542)
692,tensor(4.5789)
693,tensor(4.6783)
694,tensor(4.7827)
695,tensor(4.9979)
696,tensor(4.4121)
697,tensor(4.4016)
698,tensor(4.2259)
699,tensor(4.5069)
700,tensor(4.8011)
701,tensor(4.4211)
702,tensor(4.6822)
703,tensor(4.4303)
704,tensor(4.4019)
705,tensor(4.8496)
706,tensor(4.2304)
707,tensor(4.6775)
708,tensor(4.4398)
709,tensor(4.3182)
710,tensor(4.3798)
711,tensor(4.3962)
712,tensor(4.9390)
713,tensor(4.1349)
714,tensor(4.4219)
715,tensor(4.4702)
716,tensor(4.1306)
717,tensor(4.6684)
718,tensor(4.2863)
719,tensor(4.7406)
720,tensor(4.8538)
721,tensor(4.8126)
722,tensor(4.6781)
723,tensor(4.5175)
724,tensor(4.3418)
725,tensor(4.4988)
726,tensor(4.4733)
727,tensor(4.3740)
728,tensor(4.7123)
729,tensor(4.4207)
730,tensor(4.4767)
731,tensor(4.3208)
732,tensor(4.5242)
733,tensor(4.8717)
734,tensor(4.7888)
735,tensor(4.9908)
736,tensor(4.5129)
737,tensor(4.3929)
738,tensor(4.8948)
739,tensor(4.4002)
740,tensor(4.9851)
741,tensor(4.5770)
742,tensor(4.8304)
743,tensor(4.8621)
744,tensor(4.4199)
745,tensor(4.3768)
746,tensor(4.5721)
747,tensor(4.8998)
748,tensor(4.5032)
749,tensor(4.7078)
750,tensor(4.3980)
751,tensor(4.3265)
752,tensor(4.3163)
753,tensor(4.3152)
754,tensor(4.3212)
755,tensor(4.7143)
756,tensor(4.6677)
757,tensor(4.5452)
758,tensor(4.7050)
759,tensor(4.7639)
760,tensor(4.4458)
761,tensor(4.2696)
762,tensor(4.6952)
763,tensor(4.7541)
764,tensor(4.4903)
765,tensor(4.6585)
766,tensor(4.6216)
767,tensor(4.8751)
768,tensor(4.6446)
769,tensor(4.7276)
770,tensor(4.2946)
771,tensor(4.3331)
772,tensor(4.0526)
773,tensor(4.0830)
774,tensor(4.4284)
775,tensor(4.2227)
776,tensor(4.2572)
777,tensor(4.7267)
778,tensor(4.4179)
779,tensor(4.4213)
780,tensor(4.4323)
781,tensor(4.6012)
782,tensor(4.6697)
783,tensor(4.4793)
784,tensor(4.3176)
785,tensor(4.6749)
786,tensor(4.6462)
787,tensor(4.7611)
788,tensor(4.5261)
789,tensor(4.7156)
790,tensor(4.4420)
791,tensor(4.6293)
792,tensor(4.4063)
793,tensor(4.5230)
794,tensor(4.9069)
795,tensor(4.7190)
796,tensor(4.9425)
797,tensor(4.2830)
798,tensor(4.4153)
799,tensor(4.9980)
800,tensor(4.4893)
801,tensor(4.9826)
802,tensor(4.2019)
803,tensor(4.5178)
804,tensor(4.6252)
805,tensor(3.9950)
806,tensor(4.4618)
807,tensor(4.4109)
808,tensor(4.7185)
809,tensor(4.5941)
810,tensor(4.4837)
811,tensor(4.9851)
812,tensor(4.8682)
813,tensor(4.3439)
814,tensor(4.0754)
815,tensor(4.3580)
816,tensor(4.2493)
817,tensor(4.6708)
818,tensor(4.5072)
819,tensor(4.4382)
820,tensor(4.3193)
821,tensor(4.7440)
822,tensor(4.7665)
823,tensor(4.1912)
824,tensor(4.7823)
825,tensor(4.5145)
826,tensor(4.7250)
827,tensor(4.3751)
828,tensor(4.2752)
829,tensor(4.5642)
830,tensor(4.4808)
831,tensor(4.5698)
832,tensor(4.4910)
833,tensor(4.2424)
834,tensor(4.6423)
835,tensor(4.5707)
836,tensor(4.2614)
837,tensor(4.5191)
838,tensor(4.3106)
839,tensor(4.9964)
840,tensor(4.4592)
841,tensor(4.6619)
842,tensor(4.8019)
843,tensor(4.8811)
844,tensor(4.9952)
845,tensor(4.6279)
846,tensor(4.5391)
847,tensor(4.5143)
848,tensor(4.0261)
849,tensor(4.9961)
850,tensor(4.7369)
851,tensor(4.5880)
852,tensor(4.4414)
853,tensor(4.8004)
854,tensor(4.6204)
855,tensor(4.2871)
856,tensor(4.6605)
857,tensor(4.6744)
858,tensor(4.5687)
859,tensor(4.4051)
860,tensor(4.4718)
861,tensor(4.4517)
862,tensor(4.5701)
863,tensor(4.6561)
864,tensor(4.8394)
865,tensor(4.4586)
866,tensor(4.3126)
867,tensor(4.6033)
868,tensor(4.5740)
869,tensor(4.7111)
870,tensor(4.7718)
871,tensor(4.5583)
872,tensor(4.8055)
873,tensor(4.8312)
874,tensor(4.6845)
875,tensor(4.1276)
876,tensor(4.7967)
877,tensor(4.4147)
878,tensor(4.7069)
879,tensor(4.9469)
880,tensor(4.4616)
881,tensor(4.0633)
882,tensor(4.6440)
883,tensor(4.6779)
884,tensor(4.6337)
885,tensor(4.0817)
886,tensor(4.3103)
887,tensor(4.5903)
888,tensor(4.3423)
889,tensor(4.8327)
890,tensor(4.4445)
891,tensor(4.8204)
892,tensor(4.4549)
893,tensor(4.5007)
894,tensor(3.9079)
895,tensor(4.6158)
896,tensor(4.1801)
897,tensor(4.9921)
898,tensor(4.7934)
899,tensor(4.7119)
900,tensor(4.9981)
901,tensor(4.6346)
902,tensor(4.7187)
903,tensor(4.7388)
904,tensor(4.1260)
905,tensor(4.3857)
906,tensor(4.6328)
907,tensor(4.6896)
908,tensor(4.9926)
909,tensor(4.4437)
910,tensor(4.5618)
911,tensor(4.5349)
912,tensor(4.9909)
