,WMD
342,1.34170737427929
343,1.2039998066898825
344,4.191300918380792
345,1.0313574165273791
346,1.8263952836227415
347,2.395244853139628
348,1.198566704013437
349,0.8896167496816882
350,3.427060645884508
351,0.30871380067396964
352,0.4963777607455082
353,1.1239471861092298
354,2.2997202513124715
355,1.1124355120727956
356,2.0769625115533623
357,1.820605901281816
358,2.3347737362089025
359,2.258905884567481
360,1.0765278297673673
361,2.088205632345132
362,2.8159638252108197
363,3.80843355950055
364,3.1269705969580777
365,2.2578491308895248
366,1.4656492205829268
367,1.7119431360919737
368,2.7006538526472967
369,1.1430504361792686
370,3.1803512772941
371,2.148835078434045
372,0.0
373,4.524974784772347
374,2.8826203754702004
375,2.8307679462318487
376,1.6860184179735724
377,1.4314833417994457
378,6.070171626605459
379,1.9450283655372933
380,1.2056736578853675
381,1.693414723604011
382,1.6755044365513274
383,1.039166224357078
384,2.6051835601991957
385,2.7305635343099537
386,2.019262723439202
387,2.9289865256448864
388,5.065997693698423
389,1.9100880068045176
390,1.2717142523557616
391,2.1673829746835573
392,1.2371303927807775
393,2.363651862954938
394,0.7740256201250083
395,2.3364777711042493
396,0.7851974557044478
397,2.3837738969830333
398,1.8863129542187733
399,2.1245832436934924
400,3.1240167102771186
401,2.277126447468293
402,2.5164973967522033
403,2.9891606849965
404,1.9397708918914127
405,3.3261628640942886
406,2.7701811670242864
407,2.180552161624532
408,2.6677173231970803
409,1.7161818776421334
410,1.2503290649032528
411,1.1338905380184754
412,2.5756208514667893
413,1.3718219597581247
414,2.1884076907015766
415,1.98644680771886
416,3.4881338165829265
417,2.656125701032125
418,2.186729005518913
419,0.4416740105077624
420,1.6633259050164575
421,2.535608743453795
422,4.0422740512532584
423,1.3066088873919044
424,3.7830956373906135
425,3.502512318798587
426,1.7043064076799497
427,2.6643799433329978
428,0.787468489588347
429,1.176252710684779
430,2.2668865297836818
431,2.8174543816331425
432,1.8565241024109875
433,0.770214773389854
434,0.8292559614140189
435,1.867189367694584
436,2.076914779267901
437,1.8697571324103783
438,0.83960595245811
439,1.6204684043011284
440,1.5837637950957903
441,3.6111626558627017
442,1.1934332692707184
443,2.4779835006280773
444,2.616355640761517
445,1.3671021028843453
446,1.8376394133030145
447,3.348097493738585
448,2.7231696345785257
449,3.304280200855575
450,3.423189287025788
451,2.020156157845186
452,3.530799058515504
453,3.0944424807719684
454,2.8502137048780583
455,0.3043084335052386
456,2.1469304688883475
457,1.3551743874715485
458,2.0030058120492167
459,2.873902556076832
460,1.0175560157712429
461,4.897895674918145
462,2.077993793226808
463,0.9455853667478916
464,2.2604220928739545
465,1.9597178432737241
466,1.825909114986704
467,0.6859782257094741
468,2.6614692327422147
469,0.8522640398197864
470,1.4229076599766382
471,2.596010903352652
472,2.5216373279974857
473,1.309214023020658
474,1.2283379033120674
475,1.282617448926706
476,2.3720787540697654
477,2.5325052543373396
478,2.7837543355053658
479,2.6740501582309117
480,1.7168728111410354
481,1.66157341392237
482,3.912726278970633
483,2.091195689782072
484,2.242643053957849
485,3.0322081667243634
486,1.6279187812153535
487,0.8078741880130776
488,0.5897815513409325
489,3.211904082856292
490,3.5347973132122066
491,1.2569805403153824
492,2.241034320350796
493,1.6018273575138102
494,1.5692995893877704
495,2.641073187051639
496,1.9844913154542243
497,1.9690993361945104
498,1.6846125499295073
499,1.4071727388826392
500,0.8714176464355843
501,3.7390947883512484
502,1.1547354459174723
503,1.8119388382772952
504,0.8603314348763157
505,2.204936649400324
506,2.1134682949979866
507,1.2292103612256131
