,1-gram_overlap
190,0.5
191,0.6666666666666666
192,0.6666666666666666
193,0.6666666666666666
194,0.5714285714285714
195,0.9090909090909092
196,0.3333333333333333
197,0.2857142857142857
198,0.4
199,0.2857142857142857
200,0.0
201,0.4
202,0.3333333333333333
203,0.2857142857142857
204,0.3333333333333333
205,0.0
206,0.0
207,0.3333333333333333
208,0.4
209,0.6666666666666666
210,0.6666666666666666
211,0.2857142857142857
212,0.5
213,0.5
214,0.6666666666666666
215,0.75
216,0.5
217,0.2857142857142857
218,0.5
219,0.75
220,0.25
221,0.0
222,0.4444444444444444
223,0.6666666666666666
224,0.3333333333333333
225,0.0
226,0.6666666666666666
227,0.0
228,0.2857142857142857
229,0.0
230,0.4
231,0.5714285714285714
232,0.8
233,0.5714285714285714
234,0.0
235,0.75
236,0.6666666666666666
237,0.75
238,0.2857142857142857
239,0.2857142857142857
240,0.5714285714285714
241,0.5
242,0.0
243,0.8
244,0.6666666666666666
245,0.5
246,0.6666666666666666
247,0.6666666666666666
248,0.6666666666666666
249,0.5714285714285714
250,0.5
251,0.2222222222222222
252,0.4
253,0.0
254,0.4
255,0.3333333333333333
256,0.75
257,0.8888888888888888
258,0.75
259,0.0
260,0.3333333333333333
261,0.2857142857142857
262,0.4
263,0.2857142857142857
264,0.6666666666666666
265,0.6666666666666666
266,0.75
267,0.8
268,0.4
269,0.0
270,0.6
271,0.0
272,0.6666666666666666
273,0.0
274,0.6666666666666666
275,0.8
276,0.8
277,0.0
278,0.6
279,0.4
280,0.2857142857142857
281,0.2857142857142857
282,0.0
283,0.5714285714285714
284,0.3333333333333333
285,0.0
286,0.5
287,0.4
288,0.75
289,0.3333333333333333
290,0.75
291,0.0
292,0.6666666666666666
293,0.5
294,0.3333333333333333
295,0.5714285714285714
296,0.6
297,0.4
298,0.5
299,0.2857142857142857
300,0.75
301,0.2857142857142857
302,0.5
303,0.6666666666666666
304,0.0
305,0.4444444444444444
306,0.0
307,0.6666666666666666
308,0.6666666666666666
309,0.25
310,0.4
311,0.5
312,0.6666666666666666
313,0.5
314,0.4
315,0.3333333333333333
316,0.6666666666666666
317,0.5
318,0.2857142857142857
319,0.0
320,0.5714285714285714
321,0.2222222222222222
322,0.6666666666666666
323,0.4
324,0.75
325,0.0
326,0.0
327,0.6666666666666666
328,0.3333333333333333
329,0.6666666666666666
330,0.25
331,0.0
332,0.4
333,0.5
334,0.0
335,0.4
336,0.0
337,0.4444444444444444
338,0.4444444444444444
339,0.6666666666666666
340,0.4
341,0.3333333333333333
342,0.5
343,0.5714285714285714
344,0.5
345,0.6666666666666666
346,0.8571428571428571
347,0.3333333333333333
348,0.6666666666666666
349,0.6666666666666666
350,0.0
351,0.6666666666666666
352,0.7272727272727273
353,0.6666666666666666
354,0.3333333333333333
355,0.4
356,0.75
357,0.5
358,0.4
359,0.3333333333333333
360,0.6666666666666666
361,0.5
362,0.3333333333333333
363,0.3333333333333333
364,0.2857142857142857
365,0.0
366,0.6666666666666666
367,0.0
368,0.25
369,0.8333333333333334
370,0.0
371,0.4444444444444444
372,0.5
373,0.0
374,0.6666666666666666
375,0.5
376,0.5714285714285714
377,0.5
378,0.3333333333333333
379,0.4
380,0.6666666666666666
381,0.6666666666666666
382,0.5714285714285714
383,0.4
384,0.0
385,0.6
386,0.0
387,0.0
388,0.4
389,0.5
390,0.5
391,0.8
392,0.5
393,0.0
394,0.6666666666666666
395,0.3333333333333333
396,0.5
397,0.5
398,0.0
399,0.5714285714285714
400,0.5
401,0.6666666666666666
402,0.3333333333333333
403,0.2857142857142857
404,0.4
405,0.25
406,0.5
407,0.5
408,0.2857142857142857
409,0.3333333333333333
410,0.75
411,0.0
412,0.4
413,0.0
414,0.6666666666666666
415,0.0
416,0.0
417,0.5
418,0.5
419,0.8
420,0.5714285714285714
421,0.6666666666666666
422,0.0
423,0.5
424,0.4
425,0.5714285714285714
426,0.5
427,0.5
428,0.8
429,0.75
430,0.5714285714285714
431,0.2857142857142857
432,0.6666666666666666
433,0.8
434,0.5714285714285714
435,0.5
436,0.0
437,0.5
438,0.6
439,0.5714285714285714
440,0.6666666666666666
441,0.3333333333333333
442,0.4
443,0.0
444,0.4
445,0.2857142857142857
446,0.2857142857142857
447,0.4
448,0.6666666666666666
449,0.0
450,0.5
451,0.3333333333333333
452,0.0
453,0.2857142857142857
454,0.3333333333333333
455,0.6666666666666666
456,0.0
457,0.4
458,0.5
459,0.2857142857142857
460,0.5
461,0.0
462,0.0
463,0.8888888888888888
464,0.0
465,0.6666666666666666
466,0.0
467,0.6666666666666666
468,0.5714285714285714
469,0.5
470,0.6666666666666666
471,0.5714285714285714
472,0.3333333333333333
473,0.8
474,0.0
475,0.5
476,0.25
477,0.5
478,0.0
479,0.2222222222222222
480,0.8
